"","player_api_id","player_name","overall_rating","gk_rating","number_of_appearances"
"1",2625,"Patryk Rachwal,18",63,153,90
"2",2752,"Diego Mainz",72,53,81
"3",2768,"Jose Dorado",75,128,71
"4",2770,"Ignacio Gonzalez",74,148,16
"5",2790,"Alberto Rey",73,144,50
"6",2796,"Javier Jimenez",69,340,1
"7",2802,"Pablo Hernandez",82,146,144
"8",2805,"Ruben Perez",76,141,131
"9",2857,"Ivan Perez",72,143,3
"10",2862,"Vicente Sanchez",76,146,17
"11",2907,"Gregory Lacombe",NA,NA,6
"12",2973,"Ugur Inceman",72,147,16
"13",2977,"David Rivas Rodriguez",82,104,5
"14",2983,"Jorge Molina",75,139,71
"15",2984,"Sergio Aragones",75,364,38
"16",3140,"Alexandre Hauw",69,136,42
"17",3204,"Marat Izmailov",81,156,42
"18",3263,"Kelly Berville",67,115,19
"19",3264,"Abdelmalek Cherrad",62,98,1
"20",3316,"Oscar Sanchez",71,108,6
"21",3329,"Vincent Euvrard",64,130,85
"22",3377,"Luca Belingheri",72,138,1
"23",3441,"Aleksander Radosavljevic",71,138,74
"24",3512,"Peter Halmosi",75,143,4
"25",3517,"Alexandr Kerzhakov",NA,NA,17
"26",3520,"Andrey Arshavin",86,159,70
"27",4747,"Lee Wilkie",73,128,36
"28",4863,"Boban Grncarov",66,54,25
"29",4902,"Iriney",77,145,68
"30",4939,"Tim Clancy",64,116,97
"31",4999,"Sebastian Olszar",59,108,49
"32",5016,"Ibrahim Sidibe",65,50,69
"33",5044,"Jeroen Verhoeven",68,344,21
"34",5047,"Wilko de Vogt",61,309,10
"35",5063,"Sander Duits",68,61,106
"36",5184,"Gudmundur Steinarsson",62,108,5
"37",5192,"Manuel Silas",72,146,52
"38",5202,"Remy Gomis",73,139,163
"39",5217,"Laurent Batlles",77,140,102
"40",5223,"Raffaele Rubino",63,52,7
"41",5233,"Iban Javier Cuadrado",73,132,18
"42",5243,"Julio Alvarez",NA,NA,38
"43",5247,"Perez Richi",NA,NA,16
"44",5272,"Gary Coulibaly",68,126,27
"45",5362,"Ifet Taljevic,23",60,121,24
"46",5440,"Marjan Petkovic",67,332,5
"47",5468,"Freddy Mombongo-Dues",62,48,7
"48",5610,"Yann Jouffre",75,133,141
"49",5629,"Bertrand Robert",73,101,3
"50",5631,"Jeremy Blayac",68,113,13
"51",5662,"Dimitri Bulykin",73,124,45
"52",5686,"Gerry Koning",65,138,28
"53",5687,"Rowin van Zaanen",66,52,20
"54",5693,"Kees Kwakman",71,148,119
"55",5700,"Charles Dissels",65,132,3
"56",5703,"Otman Bakkal",75,149,74
"57",5710,"Diederik Boer",70,352,53
"58",6757,"Denis Dessaer",60,42,1
"59",6771,"Oliver Vinamont",60,51,22
"60",6798,"Roel van Hemert",60,55,14
"61",6800,"Jonas Ivens",68,132,93
"62",6803,"Brecht Verbrugghe",63,143,16
"63",6824,"Pedro Kamata",72,128,1
"64",6853,"Fabian Vargas",76,169,18
"65",6864,"Santiago Acasiete",NA,NA,65
"66",6911,"Fabian Canobbio",77,160,38
"67",7099,"Toni Lehtinen",60,123,1
"68",7206,"Sebastian Sorsa",61,48,2
"69",7226,"Roni Porokara",69,145,16
"70",7284,"Kasper Haemaelaeinen",72,130,81
"71",7334,"Anssi Jaakkola",63,310,12
"72",7604,"Tom van Hyfte",67,64,33
"73",7616,"Kristian Nushi",63,133,97
"74",7621,"Anthony Favre",NA,NA,51
"75",7627,"Thierno Bah",63,76,55
"76",7628,"Tibert Pont",57,41,27
"77",7663,"Jerome Schneider",55,56,36
"78",7681,"Josip Colina",59,128,49
"79",7683,"Alessandro Iandoli",66,49,57
"80",8777,"Michele Polverino",60,97,31
"81",8780,"Marco Perez",73,47,3
"82",8784,"Stefan Nater",58,49,87
"83",8800,"Thomas Reinmann",63,63,117
"84",8837,"Angelo Raso",57,148,43
"85",8840,"Cristian Florin Ianu",66,140,60
"86",8881,"Marco Padalino",75,143,38
"87",8893,"Antoine Rey",NA,NA,31
"88",8922,"Nikica Jelavic",78,110,120
"89",8925,"Ryan Thomson",52,49,11
"90",8930,"Hrvoje Cale",72,114,17
"91",8932,"Dino Drpic",72,108,15
"92",8985,"Mile Jedinak",76,136,78
"93",9079,"Mensur Mujdza",73,143,87
"94",9086,"Ivica Vrdoljak",NA,NA,112
"95",9124,"Ivan Radeljic,18",67,125,18
"96",9128,"Tomislav Dujmovic",72,141,9
"97",9144,"Yasin Karaca",61,131,8
"98",9149,"Joost Volmer",65,101,10
"99",9183,"Janos Balogh",71,362,34
"100",9203,"Tibor Tisza",65,59,3
"101",9213,"Peter Czvitkovics",70,57,11
"102",9307,"Balazs Toth",66,126,44
"103",9449,"Oleksandr Shevelyukhin",67,46,75
"104",10348,"Alejandro Dominguez",78,150,39
"105",10404,"Stanislav Vlcek",75,148,1
"106",10474,"Evaldas Razulis",62,48,5
"107",10491,"Diniyar Bilyaletdinov",79,155,33
"108",10637,"Andris Vanins",72,361,223
"109",10880,"Robbie Haemhouts",66,61,59
"110",10933,"Robert Jez",69,71,102
"111",10950,"Pavel Krmas",69,122,93
"112",10967,"Petr Jiracek",76,130,38
"113",10984,"Maros Klimpl",73,123,20
"114",11024,"Tomas Cerny",74,370,135
"115",11027,"Roman Hubnik",74,144,34
"116",11038,"Vojtech Schulmeister",63,127,2
"117",11049,"Matej Krajcik",70,137,6
"118",11052,"Michal Svec",70,135,37
"119",11061,"Csaba Horvath",66,122,114
"120",11242,"Konstantin Engel",67,59,2
"121",11263,"Roman Prokoph",65,104,11
"122",11285,"Lucas",NA,NA,8
"123",11316,"Jean-Louis Leca",71,357,45
"124",11317,"Florent Ghisolfi",64,139,4
"125",11319,"Benoit Costil",81,407,181
"126",11320,"Steeve Elana",76,374,95
"127",11321,"Vincent Plante",74,369,53
"128",11323,"Cedric Hengbart",78,119,149
"129",11324,"Nicolas Seube",72,130,141
"130",11327,"Anthony Deroin",71,139,26
"131",11329,"Reynald Lemaitre",70,140,132
"132",11332,"Yohann Eudeline",70,132,2
"133",11336,"Rudy Riou",71,357,69
"134",11349,"Jose Gaspar",68,113,92
"135",11357,"Olafur Ingi Skulason",70,128,41
"136",11496,"Wade Elliott",74,145,34
"137",11498,"Stuart Nelson",65,328,3
"138",11555,"Fernando Soriano",74,150,110
"139",11569,"Avi Strool",67,141,28
"140",11576,"Tamir Cohen",73,155,32
"141",11671,"Gael Genevier",69,161,4
"142",11685,"Antonio Candreva",83,156,197
"143",11716,"Pedro Roma",72,352,2
"144",11726,"Nuno Piloto",69,58,94
"145",11734,"Tininho",57,111,11
"146",11736,"Antolin Alcaraz",74,140,116
"147",11743,"Artur",74,58,128
"148",11746,"Pedro Alves",66,329,2
"149",11747,"Alessandro Mangiarrati",60,120,56
"150",11752,"Marco Paulo",64,131,2
"151",11754,"Ruben Amorim",77,150,65
"152",11758,"Eliseu",78,139,203
"153",11759,"Carlos Milhazes,22",68,141,22
"154",11760,"Jorge Baptista",65,316,5
"155",11778,"Roversio",73,128,26
"156",11788,"Rui Baiao,22",65,133,22
"157",11795,"Ferreira",61,126,12
"158",11796,"Briguel",66,112,103
"159",11798,"Zeca",75,48,13
"160",11801,"Luis Olim",65,126,39
"161",11827,"Fernando Cardozo",69,136,25
"162",11829,"Bruno Patacas",70,136,52
"163",11833,"de Oliveira Cleber Monteiro",69,131,64
"164",11836,"Marcelo Pereira Bruno",68,139,29
"165",11840,"Miguel Fidalgo",68,131,24
"166",11849,"Pedro Moreira",69,63,52
"167",11851,"Nuno Silva",68,126,33
"168",11860,"Jose Manuel Ze Gomes",67,139,59
"169",11861,"Bruno Mendes",66,129,11
"170",11863,"Danielson",71,111,175
"171",11865,"Ferreira Delson,28",65,136,28
"172",11876,"Laranjeiro",68,149,26
"173",11897,"Flavio Meireles",70,134,28
"174",11901,"Ricardo Pessoa",65,59,52
"175",12005,"Ersen Martin",75,140,1
"176",12099,"Marcel MBayo,25",66,121,25
"177",12209,"Tomas Kosicky",66,330,7
"178",12245,"Adam Nemec",70,121,12
"179",12246,"Stanislav Sestak",77,122,50
"180",12283,"Robert Demjan",68,101,97
"181",12288,"Jan Durica",75,121,8
"182",12307,"Miroslav Bozok",63,43,96
"183",12310,"Rudolf Urban",57,40,8
"184",12318,"Dusan Pernis",70,351,106
"185",12320,"Dalibor Pleva",60,47,23
"186",12327,"Matej Izvolt",62,52,33
"187",12330,"Peter Pekarik",76,134,114
"188",12340,"Richard Zajac,28",67,342,73
"189",12371,"Kamil Kopunek",65,42,4
"190",12374,"Pavol Stano",66,122,179
"191",12381,"Jan Slovenciak",59,291,1
"192",12386,"Krisztian Nemeth",71,101,52
"193",12405,"Elvedin Dzinic",66,114,27
"194",12418,"Dragan Jelic",64,54,3
"195",12431,"Jure Travner",65,142,35
"196",12454,"Branko Ilic",69,138,1
"197",12473,"Marko Suler",72,121,65
"198",12574,"Zlatan Ljubijankic",72,146,65
"199",12692,"Kanu",71,137,40
"200",12763,"Nicolae Ovidiu Herea",69,60,25
"201",12766,"Cristian Sapunaru",77,132,80
"202",12985,"Christos Karypidis",NA,NA,34
"203",13033,"Orestis Karnezis",79,391,81
"204",13034,"Michalis Sifakis",76,377,7
"205",13131,"Tomislav Pacovski",68,330,70
"206",13191,"Ioannis Maniatis",75,51,3
"207",13225,"Fabian Pawela",62,53,29
"208",13301,"Kamil Kuzera",65,109,46
"209",13320,"Krzysztof Kotorowski",NA,NA,70
"210",13327,"Pawel Sasin",NA,NA,41
"211",13329,"Blazej Telichowski",NA,NA,99
"212",13334,"Lukasz Madej",68,147,140
"213",13345,"Pawel Kieszek",75,374,143
"214",13349,"Antoni Lukasiewicz",NA,NA,77
"215",13350,"Wojciech Szymanek",61,53,32
"216",13376,"Jakub Rzezniczak",NA,NA,142
"217",13383,"Maciej Korzym",NA,NA,127
"218",13390,"Wojciech Skaba",63,312,60
"219",13405,"Marcin Malinowski",NA,NA,158
"220",13410,"Mariusz Zganiacz",NA,NA,39
"221",13423,"Marcin Wasilewski",NA,NA,84
"222",13425,"Wahan Gevorgyan",63,53,34
"223",13428,"Slawomir Peszko",75,132,117
"224",13436,"Krzysztof Pilarz",NA,NA,125
"225",13437,"Piotr Celeban",NA,NA,155
"226",13449,"Lukasz Tralka",70,126,189
"227",13454,"Sebastian Przyrowski",65,319,94
"228",13471,"Radoslaw Cierzniak",66,331,149
"229",13472,"Arkadiusz Malarz",65,325,36
"230",13473,"Maciej Mielcarz",NA,NA,90
"231",13474,"Jaroslaw Bieniuk",67,57,78
"232",13476,"Dawid Kucharski",NA,NA,10
"233",13477,"Tomasz Lisowski",69,48,82
"234",13480,"Grzegorz Wojtkowiak",72,139,85
"235",13481,"Hubert Wolakiewicz",68,136,153
"236",13483,"Filip Burkhardt",NA,NA,28
"237",13486,"Marcin Kikut",70,133,68
"238",13490,"Szymon Sawala",61,129,83
"239",13494,"Jakub Szmatula",66,337,48
"240",13504,"Mateusz Zytko",60,62,96
"241",13513,"Pawel Strak",NA,NA,45
"242",13515,"Lukasz Mierzejewski",63,123,90
"243",13518,"Lukasz Piszczek",83,146,175
"244",13533,"Piotr Polczak",67,115,90
"245",13538,"Dawid Plizga",68,112,108
"246",13549,"Vejlko Nikitovic",NA,NA,22
"247",13551,"Tomasz Brzyski",NA,NA,170
"248",13554,"Mariusz Pawelec",NA,NA,144
"249",13557,"Dawid Soldecki",61,53,26
"250",13917,"Liam Kelly",68,113,95
"251",14039,"Paul Dixon",71,132,160
"252",14100,"Alan Mannus",69,341,156
"253",14487,"Roei Dayan",68,52,14
"254",14521,"Maor Melikson",76,54,81
"255",14533,"Gal Alberman",72,156,14
"256",14551,"Dekel Keinan",66,44,3
"257",14557,"Lior Rafaelov",78,52,63
"258",14560,"Eden Ben Basat",73,52,55
"259",14593,"Eliran Atar",72,46,11
"260",14642,"Yoav Ziv",67,133,28
"261",14658,"Vladimir Dvalishvili",69,55,58
"262",15361,"Jasmin Buric",71,348,101
"263",15403,"Edin Dzeko",85,129,174
"264",15425,"Veldin Muharemovic",57,119,3
"265",15456,"Josip Barisic",59,118,4
"266",15608,"Amir Spahic",60,115,62
"267",15652,"Ivica Dzidic",56,120,1
"268",15661,"Davor Landeka",58,66,6
"269",15662,"Sulejman Smajic",69,125,29
"270",15732,"Ivan Radovanovic",73,129,113
"271",15905,"Stanley Aborah",66,62,6
"272",15913,"Dimitrija Lazarevski",59,116,2
"273",15938,"Jovan Kostovski",66,69,11
"274",16199,"Boban Bajkovic",68,344,22
"275",16210,"Marko Perovic",70,148,4
"276",16218,"Simon Vukcevic",79,150,33
"277",16230,"Milan Smiljanic",71,116,11
"278",16254,"Dusan Veskovac",70,115,158
"279",16292,"Branko Lazarevic",66,53,4
"280",16300,"Gojko Kacar",78,145,88
"281",16323,"Nikola Nikezic",63,120,2
"282",16351,"Aleksandar Kolarov",79,154,157
"283",16362,"Andjelko Djuricic",68,344,27
"284",16368,"Savo Pavicevic",67,129,17
"285",16387,"Mladen Lazarevic",61,127,20
"286",16428,"Ivan Stevanovic",65,46,5
"287",16475,"Nikola Vukcevic",73,67,15
"288",16493,"Pavle Ninkov",71,62,76
"289",16511,"Konstantin Vassiljev",71,56,37
"290",16636,"Mikhail Sivakov",68,145,14
"291",16678,"Anton Putsila",73,160,37
"292",17233,"Zlatko Janjic",66,90,1
"293",17259,"Marnix Kolder",65,51,46
"294",17276,"Aloys Nong",70,111,69
"295",17296,"Claude Gnakpa",58,72,2
"296",17299,"Carlos Carmona",72,138,16
"297",17312,"Anther Yahia",NA,NA,49
"298",17319,"Kenny Deuchar",65,118,28
"299",17343,"David Barron",62,127,63
"300",17361,"Iain Davidson",61,43,43
"301",17391,"Andy Jackson",63,125,10
"302",17480,"Martin Canning",65,118,113
"303",17525,"Jim McAlister",64,57,87
"304",17528,"Chris Millar",63,129,191
"305",17568,"Gavin Skelton",63,124,50
"306",17600,"Darren McGregor",68,54,80
"307",17606,"Liam Buchanan",61,59,14
"308",17620,"Stuart Kettlewell",63,41,41
"309",17703,"Jeremy Perbet",73,143,84
"310",17711,"Gareth Wardlaw",62,56,16
"311",17749,"Iain Vigurs",68,58,116
"312",17761,"Jacob Mulenga",72,104,79
"313",17762,"Ghislain Gimbert",69,120,5
"314",17806,"Nassim Akrour",NA,NA,50
"315",17836,"Angelo",72,90,50
"316",17848,"Robert Braber",67,54,97
"317",17855,"Edouard Duplan",72,137,157
"318",17866,"Andrew Reid",78,153,40
"319",17869,"Dusan Kuciak",72,358,117
"320",17875,"Jordan Loties",74,135,117
"321",17883,"Emanuel Obiora Odita,19",65,120,19
"322",17887,"Matt Done",64,135,6
"323",18164,"Mariano Pavone",77,126,8
"324",18376,"Matias Fritzler",68,51,22
"325",18384,"Diego Valeri",78,148,4
"326",18388,"Leandro Gioda,28",73,111,28
"327",18395,"Marcos Aguirre",73,107,5
"328",18483,"Pablo Javier Perez",78,62,6
"329",18500,"Maximiliano Pellegrino",77,127,35
"330",18501,"Hernan Pellerano",74,136,67
"331",18506,"Mauro Zarate",84,143,119
"332",18518,"Jose Sosa",82,142,22
"333",18520,"Marcos Angeleri",76,48,59
"334",18521,"Jose Maria Basanta",78,143,23
"335",18533,"Loic Loval-Landre",67,149,13
"336",18548,"Jose Ze Pedro",74,149,57
"337",18549,"Tiago Targino",73,142,55
"338",18552,"Ferreira de Matos Alonso",71,137,55
"339",18558,"Nicolas Navarro",75,375,18
"340",18576,"Lucas Barrios",83,123,92
"341",18590,"Cristian Llama",75,149,32
"342",18592,"Roman Martinez",70,104,37
"343",18628,"Marco Ruben",76,135,73
"344",18636,"Pablo Barzola",66,134,44
"345",18644,"Federico Almerares",NA,NA,25
"346",18653,"Jose Gustavo Sand",72,65,2
"347",18664,"Christian Fernandez",72,142,67
"348",18673,"Gustavo Cabral",77,120,130
"349",18705,"Jesus Datolo",77,156,14
"350",18733,"Pablo Barrientos",79,151,73
"351",18734,"Dario Cvitanich",77,150,74
"352",18784,"Emiliano Daniel Armenteros",75,146,89
"353",18814,"Fernando Gago",NA,NA,74
"354",18816,"Pablo Martin Ledesma",78,205,54
"355",18820,"Ezequiel Scarione",76,58,78
"356",18823,"Matias Silvestre",80,144,194
"357",18848,"Jonathan Bottinelli",73,44,5
"358",18853,"Claudio Morel",73,181,14
"359",18859,"Mauro Boselli",NA,NA,12
"360",18880,"Nicolas Federico Spolli",80,138,133
"361",18904,"David Abraham",77,124,164
"362",18913,"Juan Eduardo Eluchans",70,122,16
"363",18923,"Carlos Matheu",71,46,14
"364",18925,"Ezequiel Lavezzi",86,130,179
"365",18945,"Santiago Gentiletti",77,55,38
"366",19000,"Dante Adrian Senger",61,52,35
"367",19014,"Guillaume Ducatel",60,126,19
"368",19020,"Christopher Samba",NA,NA,124
"369",19232,"Rafael Miranda",74,126,91
"370",19243,"Diego Costa",86,118,169
"371",19249,"Danilo",81,126,174
"372",19264,"Evandro Goebel",76,141,59
"373",19277,"Dinei",72,92,1
"374",19281,"Edivaldo Rojas",65,119,65
"375",19285,"Rafael Marques",73,126,27
"376",19297,"Thiago Xavier",66,134,28
"377",19309,"Edson Sitta",NA,NA,16
"378",19310,"Dyego Rocha Coelho",72,106,3
"379",19327,"Miranda",NA,NA,146
"380",19344,"Artur",82,408,112
"381",19352,"Jonathan",78,151,51
"382",19353,"Fabionn Lopes Patrick",64,134,33
"383",19370,"Rodrigo Arroz",67,56,13
"384",19372,"Bruno China",71,137,100
"385",19380,"Vinicius Pacheco",71,118,5
"386",19393,"Diego",73,379,81
"387",19403,"Galatto",NA,NA,5
"388",19427,"Claudio Pitbull",NA,NA,41
"389",19434,"Marcelo Boeck",74,368,36
"390",19435,"Renan",78,389,54
"391",19436,"Edinho",74,158,13
"392",19439,"Joao Guilherme",71,135,80
"393",19446,"Pedro Silva",72,143,33
"394",19488,"Rivaldo",70,54,6
"395",19489,"Halisson",70,57,67
"396",19511,"Josue",82,151,128
"397",19512,"Renan Silva",NA,NA,13
"398",19515,"Cassio",74,365,193
"399",19524,"Claudemir",70,53,93
"400",19531,"Silva",70,45,23
"401",19533,"Neymar",90,141,82
"402",19674,"Branko Jelic",62,110,8
"403",19696,"Zhi Zheng",73,154,9
"404",19908,"Junmin Hao",68,141,7
"405",20118,"Takafumi Akahoshi",69,50,78
"406",20125,"Hajime Hosogai",76,68,89
"407",20174,"Koki Mizuno",78,133,2
"408",20196,"Kisho Yano",68,64,2
"409",20241,"Takahito Soma",66,145,13
"410",20276,"Hulk",85,143,82
"411",20323,"Carciano",67,134,4
"412",20325,"Marcelo Silva",71,45,22
"413",20329,"Rafael Dias",65,62,11
"414",20342,"Rafael Santos",70,47,2
"415",20396,"Felipe Santana",NA,NA,80
"416",20399,"Dudu",61,125,3
"417",20401,"Michel Bastos",84,155,126
"418",20445,"Ederson Tormena",NA,NA,54
"419",20446,"Fagner",74,42,24
"420",20482,"Marcos Ceara",NA,NA,94
"421",20645,"Mike Havenaar",72,47,85
"422",20694,"Shinji Okazaki",78,42,131
"423",20720,"Robert Cullen",67,48,41
"424",20747,"Eiji Kawashima",74,367,110
"425",20771,"Akihiro Ienaga",74,57,4
"426",20790,"Michihirio Yasuda",70,45,38
"427",21123,"Erik Friberg",66,135,5
"428",21161,"Amoreirinha",69,138,32
"429",21164,"Thiago Neves",80,104,2
"430",21213,"Daniel Dunst",55,51,9
"431",21410,"Sebastian Leto",78,152,13
"432",21414,"Oscar Trejo",77,153,99
"433",21445,"Juca",74,165,15
"434",21446,"Hernanes",85,148,144
"435",21450,"Marc Bertran",NA,NA,96
"436",21458,"Andre Leone",73,113,22
"437",21528,"Mark Burchill",60,111,9
"438",21613,"Nikola Kalinic",78,118,54
"439",21645,"David Meul",62,321,34
"440",21657,"Alexandre Di Gregorio",59,116,8
"441",21726,"Ibrahima Conte",73,54,49
"442",21744,"Bart Goossens",57,132,1
"443",21751,"Mohammed Rabiu",71,130,36
"444",21753,"Tim Matthijs",68,60,76
"445",21765,"Jop van der Linden",72,53,76
"446",21776,"Gregory Lorenzi",66,135,43
"447",21785,"Esteban Solari",71,132,2
"448",21812,"Michael Klukowski",69,142,30
"449",21834,"Rachid Farssi",66,136,93
"450",21849,"Chris McCann",73,150,7
"451",21853,"Dudley Campbell",NA,NA,32
"452",21864,"Stephen Quinn",NA,NA,21
"453",21894,"Junio Cesar Arcanjo Juninho",NA,NA,2
"454",21914,"Chris Robertson",63,105,21
"455",21982,"Raffaele Schiavi",69,141,10
"456",22045,"Lee Tomlin",70,57,3
"457",22096,"Giuseppe Aquaro",65,80,38
"458",22103,"Luigi Beghetto",64,159,4
"459",22125,"Paulo Lopes",74,367,34
"460",22126,"Hugo Carreira",69,125,2
"461",22128,"Tony",68,46,57
"462",22130,"Hugo Valdir",61,122,1
"463",22131,"Hugo Morais",72,137,75
"464",22134,"Rui Borges",65,139,2
"465",22136,"Tiago Rosa",57,51,2
"466",22139,"Anselmo",69,134,17
"467",22234,"Jose Mari",79,126,3
"468",22283,"Fabrizio Cacciatore",72,143,73
"469",22305,"Simone Farelli",59,297,1
"470",22313,"Elkin Soto",NA,NA,125
"471",22337,"Leandro Castan",82,143,72
"472",22343,"Benjamin Fischer",46,111,4
"473",22355,"Lorenzo Del Prete",70,149,4
"474",22382,"Drissa Diarra",64,139,56
"475",22386,"Stefano Ferrario",66,130,29
"476",22418,"Peterson Pecanha",74,365,56
"477",22421,"Tiago Valente",70,49,80
"478",22427,"Ricardo Pedrinha,27",70,143,27
"479",22428,"Cristiano",74,142,45
"480",22434,"Ronny Carlos da Silva",68,44,14
"481",22444,"Garry Wood",55,100,11
"482",22514,"Rodrigues Saulo",68,127,27
"483",22519,"Carlitos",66,135,69
"484",22535,"Elson",NA,NA,17
"485",22543,"Radamel Falcao",90,144,147
"486",22544,"Wason Renteria",NA,NA,21
"487",22545,"Marcinho",75,113,25
"488",22700,"Lorenzo Bucchi",58,288,12
"489",22706,"Kostadin Hazurov",65,38,28
"490",22707,"Stanislav Manolev",73,146,79
"491",22714,"Ivan Ivanov",72,104,11
"492",22732,"Janicio Martins",69,134,13
"493",22764,"Martin Skrtel",82,132,220
"494",22785,"Stilianos Malezas",NA,NA,21
"495",22822,"Aleksander Seliga",67,338,32
"496",22824,"Dusan Svento",75,136,14
"497",22831,"Marcel Gecov",65,121,21
"498",22832,"Lukas Jarolim",71,152,15
"499",22834,"Marek Suchy",78,133,79
"500",22894,"Dean Hammond",69,128,9
"501",22924,"Neil Alexander",73,370,52
"502",22928,"Glenn Loovens",NA,NA,78
"503",22929,"Joe Ledley",NA,NA,151
"504",22952,"Isaac Osbourne",66,127,67
"505",22959,"Luke Varney",73,125,24
"506",22962,"Ben Williams",66,323,74
"507",22964,"Billy Jones",72,139,99
"508",22969,"Michael Higdon",NA,NA,175
"509",22978,"Ross Turnbull",74,376,28
"510",22982,"Philip Chidi Onyemah",64,123,22
"511",22984,"Ivan Cordoba",83,128,57
"512",22988,"Mark Hudson",72,117,2
"513",22991,"Ben Watson",73,144,85
"514",22994,"Tom Soares",68,151,14
"515",22998,"Julian Speroni",77,379,75
"516",23007,"Andrew Davies",69,120,31
"517",23016,"Chris Turner",60,133,3
"518",23019,"Giles Barnes",NA,NA,1
"519",23021,"Boaz Myhill",77,384,116
"520",23022,"Andrew Dawson",NA,NA,60
"521",23023,"Ian Ashbee",NA,NA,31
"522",23025,"Nick Barmby",67,134,19
"523",23027,"Matt Duke",64,323,21
"524",23030,"Damien Delaney",75,139,97
"525",23034,"Craig Fagan",72,151,35
"526",23036,"Ryan France",60,112,1
"527",23051,"Jimmy Juan",61,134,11
"528",23054,"Owen Garvan",68,149,1
"529",23065,"Stephen Crainey",NA,NA,31
"530",23069,"Frazer Richardson",69,139,2
"531",23070,"Shaun Derry",NA,NA,38
"532",23072,"Richard Cresswell",70,125,12
"533",23073,"Matthew Kilgallon",NA,NA,21
"534",23074,"Robbie Blake",76,146,20
"535",23075,"Franco Sosa",72,143,40
"536",23080,"Rab Douglas",62,310,30
"537",23081,"Alan Maybury",66,143,76
"538",23083,"Stephen Hughes",68,146,62
"539",23091,"Richard Stearman",74,120,67
"540",23093,"Tommy Wright",61,117,4
"541",23099,"Kevin Foley",70,144,64
"542",23104,"Rowan Vine",70,51,32
"543",23114,"Dean Brill",66,328,61
"544",23115,"Leon Barnett",71,118,29
"545",23117,"John Sutton",71,118,180
"546",23127,"Jody Morris",67,133,84
"547",23133,"Adam Drury",72,125,12
"548",23134,"Jason Shackell",75,131,38
"549",23139,"Dean Ashton",82,111,4
"550",23141,"Paul Gallacher",68,336,116
"551",23144,"Jurgen Colin",NA,NA,24
"552",23147,"Joe Lewis",68,337,1
"553",23148,"Marc Janko",NA,NA,60
"554",23151,"Frazer Wright",68,128,184
"555",23163,"Akos Buzsaky",NA,NA,10
"556",23170,"Matt Derbyshire",77,118,9
"557",23182,"Omar Daley",65,137,13
"558",23185,"Graham Alexander",72,144,33
"559",23186,"Callum Davidson",71,121,46
"560",23187,"Youl Mawene",63,57,19
"561",23190,"David Nugent",78,127,49
"562",23193,"Matthew Hill",64,98,2
"563",23225,"Stephen Hunt",77,137,57
"564",23249,"Lee Bullen,29",66,126,29
"565",23253,"Glenn Whelan",NA,NA,209
"566",23254,"Burton O'Brien",66,146,53
"567",23257,"Chris Brunt",75,148,188
"568",23264,"Gabriel Agbonlahor",83,129,215
"569",23265,"Patrick Kenny,30",80,389,33
"570",23268,"Phil Jagielka",82,269,224
"571",23271,"Danny Webber",81,116,4
"572",23275,"Michael Tonge",74,145,1
"573",23282,"Nicky Shorey",77,152,94
"574",23283,"Steve Sidwell",78,152,111
"575",23284,"Ibrahima Sonko",75,129,16
"576",23285,"Glen Little",74,145,4
"577",23286,"Leroy Lita",80,115,4
"578",23288,"Dave Kitson",76,118,20
"579",23291,"Kevin Doyle",79,152,84
"580",23293,"Shane Long",76,120,114
"581",23299,"Brett Ormerod",71,94,6
"582",23304,"Djamel Belmadi",NA,NA,11
"583",23305,"Nathan Dyer",NA,NA,96
"584",23307,"Steve Simonsen",71,360,13
"585",23310,"Michael Duberry",75,112,49
"586",23311,"Clint Hill",72,110,65
"587",23314,"Mamady Sidibe",NA,NA,36
"588",23317,"David Templeton",74,111,57
"589",23333,"Seyi Olofinjana",74,159,25
"590",23334,"Jody Craddock",73,127,48
"591",23335,"Jackie McNamara",73,151,42
"592",23349,"Clarke Carlisle",74,125,27
"593",23352,"Marlon King",76,97,28
"594",23354,"Ashley Young",NA,NA,190
"595",23355,"Hameur Bouazza",74,131,3
