"","team_id","team_name","build_play","chance_creation","defense_rating","goals_scored"
"1",1601,"Ruch Chorzów",139,186,175,280
"2",1773,"Oud-Heverlee Leuven",153,157,137,126
"3",1957,"Jagiellonia Bialystok",158,163,210,287
"4",2033,"S.C. Olhanense",147,165,155,138
"5",2182,"Lech Poznan",176,196,160,372
"6",2183,"P. Warszawa",0,180,175,184
"7",2186,"Cracovia",125,168,205,235
"8",4049,"Tubize",0,0,0,35
"9",4064,"Feirense",0,0,0,27
"10",4087,"Évian Thonon Gaillard FC",156,180,165,180
"11",4170,"US Boulogne Cote D'Opale",0,165,200,31
"12",6269,"Novara",179,172,151,34
"13",6351,"KAS Eupen",0,160,155,28
"14",6367,"Uniao da Madeira",0,0,0,27
"15",6391,"GFC Ajaccio",153,179,146,37
"16",6403,"FC Paços de Ferreira",142,170,150,292
"17",6413,"PEC Zwolle",137,165,181,204
"18",6421,"Leixões SC",0,165,90,55
"19",6433,"Go Ahead Eagles",160,132,141,74
"20",6493,"AC Bellinzona",0,175,150,128
"21",6547,"FC Penafiel",147,146,121,29
"22",6601,"FC Volendam",0,0,0,38
"23",6631,"FC Dordrecht",134,176,164,24
"24",7730,"FC Lausanne-Sports",141,164,165,99
"25",7788,"SC Cambuur",136,159,138,119
"26",7794,"SC Bastia",174,156,210,165
"27",7819,"SM Caen",157,165,205,220
"28",7841,"Rio Ave FC",157,180,153,248
"29",7842,"Estoril Praia",174,139,150,167
"30",7844,"Vitória Guimarães",131,179,177,300
"31",7869,"Córdoba CF",146,171,129,22
"32",7878,"Granada CF",166,200,170,179
"33",7896,"Lugano",0,0,0,46
"34",7943,"Sassuolo",188,186,138,141
"35",7947,"FCV Dender EH",0,0,0,44
"36",7955,"Neuchâtel Xamax",0,190,150,171
"37",7992,"Trofense",0,0,0,25
"38",8019,"Górnik Leczna",140,139,149,61
"39",8020,"Polonia Bytom",0,150,185,245
"40",8021,"Zaglebie Lubin",133,192,210,207
"41",8023,"Pogon Szczecin",134,185,158,152
"42",8024,"Widzew Lódz",190,185,158,122
"43",8025,"Slask Wroclaw",140,165,180,318
"44",8027,"Zawisza Bydgoszcz",145,168,143,75
"45",8028,"Piast Gliwice",183,169,195,204
"46",8030,"Lechia Gdansk",162,183,205,279
"47",8031,"Polonia Bytom",0,150,185,88
"48",8033,"Podbeskidzie Bielsko-Biala",193,166,152,169
"49",8066,"Inverness Caledonian Thistle",169,174,139,345
"50",8121,"Angers SCO",159,180,140,40
