"","lon","lat"
"1",NA,NA
"2",-95.712891,37.09024
"3",NA,NA
"4",NA,NA
"5",-97.7430608,30.267153
"6",-71.3824374,42.4072107
"7",-118.2436849,34.0522342
"8",NA,NA
"9",NA,NA
"10",NA,NA
"11",NA,NA
"12",NA,NA
"13",-81.7075355,25.9397412
"14",-101.3544964,20.6786652
"15",-81.0348144,34.0007104
"16",-111.0937311,34.0489281
"17",NA,NA
"18",-0.1277583,51.5073509
"19",NA,NA
"20",-73.2594376,41.1420066
"21",-85.929814,32.4886992
"22",-119.4179324,36.778261
"23",NA,NA
"24",NA,NA
"25",-70.8226541,43.9653889
"26",-88.0398912,30.6953657
"27",NA,NA
"28",-71.0588801,42.3600825
"29",-71.4547891,42.9956397
"30",NA,NA
"31",-71.8022934,42.2625932
"32",NA,NA
"33",NA,NA
"34",NA,NA
"35",-85.3232139,51.253775
"36",-77.0368707,38.9071923
"37",NA,NA
"38",-73.9441579,40.6781784
"39",-113.4909267,53.544389
"40",NA,NA
"41",-81.5157535,27.6648274
"42",NA,NA
"43",-83.1074641,42.5301376
"44",-85.684578,30.1805306
"45",NA,NA
"46",-99.0202439,19.3272634
"47",NA,NA
"48",144.9611812,-37.8150737
"49",-74.4056612,40.0583238
"50",-79.9958864,40.4406248
"51",-79.1783725,40.6234671
"52",-116.5765035,53.9332706
"53",NA,NA
"54",NA,NA
"55",-91.9623327,30.9842977
"56",NA,NA
"57",NA,NA
"58",-73.9441579,40.6781784
"59",-66.590149,18.220833
"60",-80.1917902,25.7616798
"61",NA,NA
"62",NA,NA
"63",-84.3879824,33.7489954
"64",NA,NA
"65",-89.6501481,39.7817213
"66",-81.6035062,30.3500511
"67",NA,NA
"68",NA,NA
"69",-79.0192997,35.7595731
"70",-71.0588801,42.3600825
"71",NA,NA
"72",-117.4260466,47.6587802
"73",-95.712891,37.09024
"74",-121.4943996,38.5815719
"75",NA,NA
"76",NA,NA
"77",NA,NA
"78",-118.2436849,34.0522342
"79",-83.2341028,42.6875323
"80",NA,NA
"81",-86.8688899,35.9250637
"82",-73.134961,40.789142
"83",-71.2478251,42.0653812
"84",NA,NA
"85",NA,NA
"86",NA,NA
"87",NA,NA
"88",-0.7594171,52.0406224
"89",-96.3344068,30.627977
"90",-75.1652215,39.9525839
"91",NA,NA
"92",-90.0489801,35.1495343
"93",NA,NA
"94",NA,NA
"95",-95.712891,37.09024
"96",NA,NA
"97",NA,NA
"98",-92.9475061,17.989456
"99",-73.087749,41.6032207
"100",NA,NA
"101",13.914399,3.9505128
"102",-115.1398296,36.1699412
"103",NA,NA
"104",NA,NA
"105",-35.200916,-5.7792569
"106",-117.0382471,32.5149469
"107",-75.7324127,40.8759235
"108",NA,NA
"109",-93.5874364,36.379123
"110",-87.6297982,41.8781136
"111",-72.285215,18.971187
"112",-99.9018131,31.9685988
"113",NA,NA
"114",-84.1916069,39.7589478
"115",-71.1908924,42.7262016
"116",NA,NA
"117",-88.7878678,43.7844397
"118",NA,NA
"119",NA,NA
"120",NA,NA
"121",-71.3161718,42.6334247
"122",NA,NA
"123",NA,NA
"124",NA,NA
"125",NA,NA
"126",NA,NA
"127",-84.1916069,39.7589478
"128",10.6507113,44.5594688
"129",-69.4454689,45.253783
"130",NA,NA
"131",-73.6742323,40.7422572
"132",NA,NA
"133",-74.6672226,40.3572976
"134",-71.0588801,42.3600825
"135",-84.1401926,34.2073196
"136",NA,NA
"137",NA,NA
"138",-77.0368707,38.9071923
"139",-102.552784,23.634501
"140",-71.6881528,43.7570196
"141",-93.5683651,47.5507924
"142",-123.1207375,49.2827291
"143",NA,NA
"144",-80.4549026,38.5976262
"145",-79.532157,43.8169837
"146",-95.712891,37.09024
"147",NA,NA
"148",NA,NA
"149",-94.139023,30.054381
"150",NA,NA
"151",-72.6850932,41.7637111
"152",NA,NA
"153",-74.0059413,40.7127837
"154",NA,NA
"155",NA,NA
"156",NA,NA
"157",-71.0588801,42.3600825
"158",NA,NA
"159",NA,NA
"160",-2.96083,53.4308294
"161",-73.4540111,41.394817
"162",NA,NA
"163",-71.0588801,42.3600825
"164",NA,NA
"165",-91.8074586,18.6504879
"166",-118.2436849,34.0522342
"167",-72.6078672,42.1487043
"168",NA,NA
"169",-79.7618035,34.0649253
"170",-71.0772796,42.7762015
"171",-97.856109,27.5158689
"172",-96.7969879,32.7766642
"173",NA,NA
"174",55.2707828,25.2048493
"175",-80.7209149,40.0639616
"176",NA,NA
"177",-103.1566534,34.4193739
"178",NA,NA
"179",NA,NA
"180",NA,NA
"181",NA,NA
"182",NA,NA
"183",NA,NA
"184",-84.3879824,33.7489954
"185",-70.6672621,41.9584457
"186",NA,NA
"187",-119.8138027,39.5296329
"188",NA,NA
"189",NA,NA
"190",NA,NA
"191",-82.907123,40.4172871
"192",-76.6874701,35.1337865
"193",-82.3940104,34.8526176
"194",-114.07655,51.037739
"195",-87.5691735,33.2098407
"196",-77.0368707,38.9071923
"197",-97.330053,37.6871761
"198",NA,NA
"199",-77.138305,38.7149453
"200",NA,NA
"201",NA,NA
"202",-74.0059413,40.7127837
"203",NA,NA
"204",NA,NA
"205",NA,NA
"206",-84.2700179,37.8393332
"207",NA,NA
"208",-108.4959508,34.3430041
"209",-79.9958864,40.4406248
"210",-73.087749,41.6032207
"211",NA,NA
